time,source,name,Family,Series,Form Factor,"# of CPU Cores","# of Threads",Max. Boost Clock,Base Clock,L2 Cache,L3 Cache,Default TDP,L1 Cache,AMD Configurable TDP (cTDP),Processor Technology for CPU Cores,Unlocked for Overclocking,CPU Socket,Thermal Solution (PIB),Recommended Cooler,Thermal Solution (MPK),Max. Operating Temperature (Tjmax),Launch Date,*OS Support,PCI Express® Version,System Memory Type,Memory Channels,System Memory Specification,Graphics Model,Graphics Core Count,Graphics Frequency,AMD Ryzen™ AI,Product ID Boxed,Product ID Tray,Product ID MPK,Supported Technologies,All Core Boost Speed,1kU Pricing,Socket Count,Per Socket Mem BW,AMD Infinity Guard,Workload Affinity,GPU Architecture,Lithography,Stream Processors,Matrix Cores,Compute Units,Peak Engine Clock,"Peak Eight-bit Precision (FP8) Performance (E5M2, E4M3)","Peak Eight-bit Precision (FP8) Performance with Structured Sparsity (E5M2, E4M3)",Peak Half Precision (FP16) Performance,Peak Half Precision (FP16) Performance with Structured Sparsity,Peak Single Precision (TF32 Matrix) Performance,Peak Single Precision (TF32) Performance with Structured Sparsity,Peak Single Precision Matrix (FP32) Performance,Peak Double Precision Matrix (FP64) Performance,Peak Single Precision (FP32) Performance,Peak Double Precision (FP64) Performance,Peak INT4 Performance,Peak INT8 Performance,Peak INT8 Performance with Structured Sparsity,Peak bfloat16,Peak bfloat16 with Strutured Sparsity,Transistor Count,AMD EPYC™ CPU Architecture,CPU Cores,CPU Peak Engine Clock,External Power Connectors,Thermal Design Power (TDP),Typical Board Power (TBP),Last Level Cache (LLC),Dedicated Memory Size,Dedicated Memory Type,Unified Memory Architecture,Infinity Cache,Memory Interface,Memory Clock,Peak Memory Bandwidth,Memory ECC Support,GPU Form Factor,Bus Type,Infinity Fabric™ Links,Peak Infinity Fabric™ Link Bandwidth,Cooling,Board Height,Board Length,Board Width,RAS Support,Page Retirement,Page Avoidance,SR-IOV,Coherency Enabled,DirectX®,OpenGL®,OpenMP®,OpenCL™,HIP,ROCm™ Open Ecosystem,Vulkan®,TensorFlow,PyTorch,ONYX-RT,JAX,Kokkos,RAJA,OS Support,Processor Type,OPN,CPU Type,Infrastructure,Last Time Buy,Recommended for new designs,CPU Base Freq.,CPU Max Freq.,Total L2 Cache,Total L3 Cache,TDP,Junction Temp Range,Security Processor,GPU Brand,GPU Base,GPU Max,GPU CU,"# of Displays",Max Resolution (for single display),Display Interfaces,HW Video Encode / Decode,Memory Type,Memory Controller,Ethernet,USB,USB 3.2 Gen2,SATA,Low Speed Interfaces,PCIe® Lanes,Gen4
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI Max+ PRO 395,Ryzen PRO,Ryzen AI Max PRO 300 Series,"Laptops , Desktops",16,32,Up to 5.1 GHz,3 GHz,16 MB,64 MB,55W,,45-120W,TSMC 4nm FinFET,,FP11,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,256-bit LPDDR5x,,,Radeon 8060S Graphics,40,2900 MHz,Available,,100-000001243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI Max PRO 390,Ryzen PRO,Ryzen AI Max PRO 300 Series,"Laptops , Desktops",12,24,Up to 5 GHz,3.2 GHz,12 MB,64 MB,55W,,45-120W,TSMC 4nm FinFET,,FP11,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,256-bit LPDDR5x,,,Radeon 8050S Graphics,32,2800 MHz,Available,,100-000001421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI Max PRO 385,Ryzen PRO,Ryzen AI Max PRO 300 Series,"Laptops , Desktops",8,16,Up to 5 GHz,3.6 GHz,8 MB,32 MB,55W,,45-120W,TSMC 4nm FinFET,,FP11,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,256-bit LPDDR5x,,,Radeon 8050S Graphics,32,2800 MHz,Available,,100-000001422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI Max PRO 380,Ryzen PRO,Ryzen AI Max PRO 300 Series,"Laptops , Desktops",6,12,Up to 4.9 GHz,3.6 GHz,6 MB,16 MB,55W,,45-120W,TSMC 4nm FinFET,,FP11,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,128-bit LPDDR5x,,,Radeon 8040S Graphics,16,2800 MHz,Available,,100-000001425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI 9 HX PRO 375,Ryzen PRO,Ryzen AI PRO 300 Series,"Laptops , Desktops",12,24,Up to 5.1 GHz,2 GHz,12 MB,24 MB,28W,,15-54W,TSMC 4nm FinFET,,FP8,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,"DDR5 (FP8) , LPDDR5X (FP8)",2,,AMD Radeon™ 890M,16,2900 MHz,Available,,100-000001683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI 9 HX PRO 370,Ryzen PRO,Ryzen AI PRO 300 Series,"Laptops , Desktops",12,24,Up to 5.1 GHz,2 GHz,12 MB,24 MB,28W,,15-54W,TSMC 4nm FinFET,,FP8,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,"DDR5 (FP8) , LPDDR5X (FP8)",2,,AMD Radeon™ 890M,16,2900 MHz,Available,,100-000001569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI 7 PRO 360,Ryzen PRO,Ryzen AI PRO 300 Series,"Laptops , Desktops",8,16,Up to 5 GHz,2 GHz,8 MB,16 MB,28W,,15-54W,TSMC 4nm FinFET,,FP8,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,"DDR5 (FP8) , LPDDR5X (FP8)",2,,AMD Radeon™ 880M,12,2900 MHz,Available,,100-000001571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI 7 PRO 350,Ryzen PRO,Ryzen AI PRO 300 Series,"Laptops , Desktops",8,16,Up to 5 GHz,2 GHz,8 MB,16 MB,28W,,15-54W,TSMC 4nm FinFET,,FP8,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,"DDR5 (FP8) , LPDDR5X (FP8)",2,,AMD Radeon™ 860M,8,3000 MHz,Available,,100-000000713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI 5 PRO 340,Ryzen PRO,Ryzen AI PRO 300 Series,"Laptops , Desktops",6,12,Up to 4.8 GHz,2 GHz,6 MB,16 MB,28W,,15-54W,TSMC 4nm FinFET,,FP8,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,"DDR5 (FP8) , LPDDR5X (FP8)",2,,AMD Radeon™ 840M,4,2900 MHz,Available,,100-000001600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11 09:46:04,https://www.amd.com/en/products/specifications/processors.html,AMD Ryzen™ AI Max+ 395,Ryzen,Ryzen AI Max 300 Series,"Laptops , Desktops",16,32,Up to 5.1 GHz,3 GHz,16 MB,64 MB,55W,,45-120W,TSMC 4nm FinFET,,FP11,,,,100°C,,"Windows 11 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit",PCIe® 4.0,256-bit LPDDR5x,,,Radeon 8060S Graphics,40,2900 MHz,Available,,100-000001099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
